 SHGOLD, Au(T+D), Profit,140215.10400, TradeCount = 1050,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.200,ex_dClose_ma=0.150,ex_nCCPeriod=100.000,ex_nMAPeriod=50.000,ex_dRenkoStep=0.150,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,749.65392, TradeCount = 1050,, TRADE_VIEW_MT5, USDCNH, Profit,-113544.24490, TradeCount = 1050,,
 SHGOLD, Au(T+D), Profit,130999.47520, TradeCount = 887,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.200,ex_dClose_ma=0.150,ex_nCCPeriod=100.000,ex_nMAPeriod=50.000,ex_dRenkoStep=0.200,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,1800.54488, TradeCount = 887,, TRADE_VIEW_MT5, USDCNH, Profit,-93173.10925, TradeCount = 887,,
 SHGOLD, Au(T+D), Profit,206388.42480, TradeCount = 1395,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.200,ex_dClose_ma=0.150,ex_nCCPeriod=100.000,ex_nMAPeriod=100.000,ex_dRenkoStep=0.100,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-13000.64288, TradeCount = 1395,, TRADE_VIEW_MT5, USDCNH, Profit,-145981.28405, TradeCount = 1395,,
 SHGOLD, Au(T+D), Profit,142144.90840, TradeCount = 1154,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.200,ex_dClose_ma=0.150,ex_nCCPeriod=100.000,ex_nMAPeriod=100.000,ex_dRenkoStep=0.150,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,1264.37208, TradeCount = 1154,, TRADE_VIEW_MT5, USDCNH, Profit,-129598.22305, TradeCount = 1154,,
 SHGOLD, Au(T+D), Profit,127423.36240, TradeCount = 971,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.200,ex_dClose_ma=0.150,ex_nCCPeriod=100.000,ex_nMAPeriod=100.000,ex_dRenkoStep=0.200,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,4412.23448, TradeCount = 971,, TRADE_VIEW_MT5, USDCNH, Profit,-111405.37945, TradeCount = 971,,
 SHGOLD, Au(T+D), Profit,168504.25720, TradeCount = 1352,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.200,ex_dClose_ma=0.200,ex_nCCPeriod=50.000,ex_nMAPeriod=50.000,ex_dRenkoStep=0.100,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-14448.82088, TradeCount = 1352,, TRADE_VIEW_MT5, USDCNH, Profit,-116443.49610, TradeCount = 1352,,
 SHGOLD, Au(T+D), Profit,168344.78040, TradeCount = 1062,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.200,ex_dClose_ma=0.200,ex_nCCPeriod=50.000,ex_nMAPeriod=50.000,ex_dRenkoStep=0.150,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-6975.78272, TradeCount = 1062,, TRADE_VIEW_MT5, USDCNH, Profit,-106153.40190, TradeCount = 1062,,
 SHGOLD, Au(T+D), Profit,153265.23240, TradeCount = 919,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.200,ex_dClose_ma=0.200,ex_nCCPeriod=50.000,ex_nMAPeriod=50.000,ex_dRenkoStep=0.200,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-1592.38528, TradeCount = 919,, TRADE_VIEW_MT5, USDCNH, Profit,-93553.18195, TradeCount = 919,,
 SHGOLD, Au(T+D), Profit,141844.97000, TradeCount = 1583,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.200,ex_dClose_ma=0.200,ex_nCCPeriod=50.000,ex_nMAPeriod=100.000,ex_dRenkoStep=0.100,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-10635.31000, TradeCount = 1583,, TRADE_VIEW_MT5, USDCNH, Profit,-140515.28230, TradeCount = 1583,,
 SHGOLD, Au(T+D), Profit,181510.16520, TradeCount = 1202,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.200,ex_dClose_ma=0.200,ex_nCCPeriod=50.000,ex_nMAPeriod=100.000,ex_dRenkoStep=0.150,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-10032.37384, TradeCount = 1202,, TRADE_VIEW_MT5, USDCNH, Profit,-115439.78760, TradeCount = 1202,,
 SHGOLD, Au(T+D), Profit,138492.70040, TradeCount = 1068,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.200,ex_dClose_ma=0.200,ex_nCCPeriod=50.000,ex_nMAPeriod=100.000,ex_dRenkoStep=0.200,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,1351.32704, TradeCount = 1068,, TRADE_VIEW_MT5, USDCNH, Profit,-105411.70825, TradeCount = 1068,,
 SHGOLD, Au(T+D), Profit,202132.31280, TradeCount = 1076,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.200,ex_dClose_ma=0.200,ex_nCCPeriod=100.000,ex_nMAPeriod=50.000,ex_dRenkoStep=0.100,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-10302.10752, TradeCount = 1076,, TRADE_VIEW_MT5, USDCNH, Profit,-117385.03215, TradeCount = 1076,,
 SHGOLD, Au(T+D), Profit,129562.57960, TradeCount = 909,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.200,ex_dClose_ma=0.200,ex_nCCPeriod=100.000,ex_nMAPeriod=50.000,ex_dRenkoStep=0.150,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,2726.93712, TradeCount = 909,, TRADE_VIEW_MT5, USDCNH, Profit,-95481.86075, TradeCount = 909,,
 SHGOLD, Au(T+D), Profit,137862.67880, TradeCount = 783,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.200,ex_dClose_ma=0.200,ex_nCCPeriod=100.000,ex_nMAPeriod=50.000,ex_dRenkoStep=0.200,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,1854.71384, TradeCount = 783,, TRADE_VIEW_MT5, USDCNH, Profit,-85248.43625, TradeCount = 783,,
