 SHGOLD, Au(T+D), Profit,25685.068,-1526.58416,-14412.47965,15304.29571,891.816062, TradeCount = 14,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.100,ex_dClose_abs=0.200,ex_dOpen_ma=0.250,ex_dClose_ma=0.150,ex_nCCPeriod=60.000,ex_nMAPeriod=90.000,ex_dRenkoStep=0.200,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-1526.58416, TradeCount = 14, TRADE_VIEW_MT5, USDCNH, Profit,-14412.47965, TradeCount = 14
 SHGOLD, Au(T+D), Profit,24417.112,-1344.41488,-13686.3493,15275.09082,1588.741516, TradeCount = 12,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.100,ex_dClose_abs=0.200,ex_dOpen_ma=0.250,ex_dClose_ma=0.250,ex_nCCPeriod=60.000,ex_nMAPeriod=90.000,ex_dRenkoStep=0.200,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-1344.41488, TradeCount = 12, TRADE_VIEW_MT5, USDCNH, Profit,-13686.3493, TradeCount = 12
 SHGOLD, Au(T+D), Profit,27179.156,-1752.02712,-15351.30067,15265.37158,-85.929086, TradeCount = 13,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.200,ex_dClose_abs=0.200,ex_dOpen_ma=0.150,ex_dClose_ma=0.250,ex_nCCPeriod=80.000,ex_nMAPeriod=50.000,ex_dRenkoStep=0.150,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-1752.02712, TradeCount = 13, TRADE_VIEW_MT5, USDCNH, Profit,-15351.30067, TradeCount = 13
 SHGOLD, Au(T+D), Profit,38629.232,-3438.472,-15250.95132,15247.6224,-3.32892, TradeCount = 13,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.100,ex_dClose_abs=0.100,ex_dOpen_ma=0.250,ex_dClose_ma=0.250,ex_nCCPeriod=100.000,ex_nMAPeriod=70.000,ex_dRenkoStep=0.150,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-3438.472, TradeCount = 13, TRADE_VIEW_MT5, USDCNH, Profit,-15250.95132, TradeCount = 13
 SHGOLD, Au(T+D), Profit,43720.364,-4189.40016,-15438.72849,15232.44291,-206.285578, TradeCount = 18,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.100,ex_dClose_abs=0.150,ex_dOpen_ma=0.250,ex_dClose_ma=0.200,ex_nCCPeriod=100.000,ex_nMAPeriod=90.000,ex_dRenkoStep=0.150,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-4189.40016, TradeCount = 18, TRADE_VIEW_MT5, USDCNH, Profit,-15438.72849, TradeCount = 18
 SHGOLD, Au(T+D), Profit,21856.744,-974.61648,-14661.4949,15229.35194,567.857036, TradeCount = 19,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.100,ex_dClose_abs=0.200,ex_dOpen_ma=0.150,ex_dClose_ma=0.150,ex_nCCPeriod=60.000,ex_nMAPeriod=50.000,ex_dRenkoStep=0.200,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-974.61648, TradeCount = 19, TRADE_VIEW_MT5, USDCNH, Profit,-14661.4949, TradeCount = 19
 SHGOLD, Au(T+D), Profit,25845.004,-1562.11304,-14228.43365,15222.63533,994.201678, TradeCount = 14,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.200,ex_dOpen_ma=0.250,ex_dClose_ma=0.150,ex_nCCPeriod=60.000,ex_nMAPeriod=90.000,ex_dRenkoStep=0.200,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-1562.11304, TradeCount = 14, TRADE_VIEW_MT5, USDCNH, Profit,-14228.43365, TradeCount = 14
 SHGOLD, Au(T+D), Profit,24577.048,-1379.94376,-13502.3033,15193.43043,1691.127132, TradeCount = 12,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.200,ex_dOpen_ma=0.250,ex_dClose_ma=0.250,ex_nCCPeriod=60.000,ex_nMAPeriod=90.000,ex_dRenkoStep=0.200,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-1379.94376, TradeCount = 12, TRADE_VIEW_MT5, USDCNH, Profit,-13502.3033, TradeCount = 12
 SHGOLD, Au(T+D), Profit,38721.956,-3465.7204,-15020.32342,15155.05728,134.73386, TradeCount = 18,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.100,ex_dClose_abs=0.100,ex_dOpen_ma=0.250,ex_dClose_ma=0.200,ex_nCCPeriod=100.000,ex_nMAPeriod=70.000,ex_dRenkoStep=0.150,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-3465.7204, TradeCount = 18, TRADE_VIEW_MT5, USDCNH, Profit,-15020.32342, TradeCount = 18
 SHGOLD, Au(T+D), Profit,21280.888,-901.926,-13086.34163,15147.7912,2061.44957, TradeCount = 13,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.200,ex_dClose_abs=0.200,ex_dOpen_ma=0.250,ex_dClose_ma=0.200,ex_nCCPeriod=60.000,ex_nMAPeriod=70.000,ex_dRenkoStep=0.200,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-901.926, TradeCount = 13, TRADE_VIEW_MT5, USDCNH, Profit,-13086.34163, TradeCount = 13
